itemID,itemType,itemMarketName,medianPrice
176096606,Graffiti,Sealed Graffiti | Dizzy (Tracer Yellow),0.24
176096431,Graffiti,Sealed Graffiti | Smirk (Violent Violet),0.17
176096963,Graffiti,Sealed Graffiti | 200 IQ (Brick Red),0.1
176097057,Graffiti,Sealed Graffiti | Bock Bock (Shark White),0.08
176096966,Graffiti,Sealed Graffiti | Shining Star (Monarch Blue),0.17
176096958,Graffiti,Sealed Graffiti | Dead Now (Wire Blue),0.08
176097453,Graffiti,Sealed Graffiti | Choke (Monster Purple),0.32
176096820,Graffiti,Sealed Graffiti | Broken Heart (Monarch Blue),0.26
176096947,Graffiti,Sealed Graffiti | Rly (Frog Green),0.07
176097017,Graffiti,Sealed Graffiti | Fart (Monarch Blue),0.17
176096597,Graffiti,Sealed Graffiti | Choke (Frog Green),0.17
176097135,Graffiti,Sealed Graffiti | Puke (Jungle Green),0.23
176096795,Graffiti,Sealed Graffiti | Little EZ (SWAT Blue),0.07
176097452,Graffiti,Sealed Graffiti | NT (Desert Amber),0.12
176097162,Graffiti,Sealed Graffiti | Shining Star (Blood Red),0.26
176096868,Graffiti,Sealed Graffiti | Happy Cat (Battle Green),0.1
176096803,Graffiti,Sealed Graffiti | Happy Cat (Blood Red),0.2
176097219,Graffiti,Sealed Graffiti | Applause (Brick Red),0.12
176097004,Graffiti,Sealed Graffiti | OMG (Princess Pink),0.14
176097251,Graffiti,Sealed Graffiti | Choke (War Pig Pink),0.19
176096594,Graffiti,Sealed Graffiti | Kiss (War Pig Pink),0.39
176097324,Graffiti,Sealed Graffiti | Smirk (Shark White),0.24
176097101,Graffiti,Sealed Graffiti | Shining Star (War Pig Pink),0.24
176097329,Graffiti,Sealed Graffiti | 200 IQ (Frog Green),0.07
176096672,Graffiti,Sealed Graffiti | Shining Star (Violent Violet),0.25
176096814,Graffiti,Sealed Graffiti | Happy Cat (Jungle Green),0.1
176096894,Graffiti,Sealed Graffiti | Little Bock (Desert Amber),0.16
176096902,Graffiti,Sealed Graffiti | Applause (Dust Brown),0.1
176097443,Graffiti,Sealed Graffiti | Fart (Jungle Green),0.28
176096632,Graffiti,Sealed Graffiti | Smirk (Cash Green),0.12
176096545,Graffiti,Sealed Graffiti | BEEP (Bazooka Pink),0.09
176096529,Graffiti,Sealed Graffiti | Applause (Tracer Yellow),0.17
176096838,Graffiti,Sealed Graffiti | Smirk (Frog Green),0.14
176096882,Graffiti,Sealed Graffiti | Shining Star (Wire Blue),0.16
176096762,Graffiti,Sealed Graffiti | Little EZ (Brick Red),0.08
176209528,Graffiti,Sealed Graffiti | Recoil MP7 (SWAT Blue),1.09
176209338,Graffiti,Sealed Graffiti | Recoil AWP (Shark White),3.95
176209688,Graffiti,Sealed Graffiti | Recoil UMP-45 (Brick Red),1.86
176209679,Graffiti,Sealed Graffiti | Recoil M4A1-S (Princess Pink),0.95
176209657,Graffiti,Sealed Graffiti | Recoil MAC-10 (Shark White),0.7
176209659,Graffiti,Sealed Graffiti | Recoil M4A1-S (Battle Green),1.79
176209658,Graffiti,Sealed Graffiti | Recoil FAMAS (War Pig Pink),1.27
176210274,Graffiti,Sealed Graffiti | Recoil CZ-75 (Princess Pink),0.93
176210295,Graffiti,Sealed Graffiti | Recoil Galil AR (Violent Violet),1.11
176210297,Graffiti,Sealed Graffiti | Recoil M4A1-S (Frog Green),0.99
176210306,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Tracer Yellow),0.9
176210314,Graffiti,Sealed Graffiti | Recoil CZ-75 (Monarch Blue),0.91
176210184,Graffiti,Sealed Graffiti | Recoil FAMAS (Princess Pink),0.72
176210106,Graffiti,Sealed Graffiti | Recoil CZ-75 (Wire Blue),0.79
176210167,Graffiti,Sealed Graffiti | Recoil AWP (Blood Red),26.71
176210168,Graffiti,Sealed Graffiti | Recoil MP9 (Bazooka Pink),0.73
176210170,Graffiti,Sealed Graffiti | Recoil SG 553 (Monarch Blue),0.53
176210115,Graffiti,Sealed Graffiti | Recoil UMP-45 (Jungle Green),1.75
176210128,Graffiti,Sealed Graffiti | Recoil AUG (Monarch Blue),0.76
176209998,Graffiti,Sealed Graffiti | Recoil AUG (Bazooka Pink),0.93
176210010,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Blood Red),1.51
176210038,Graffiti,Sealed Graffiti | Recoil AWP (Wire Blue),3.13
176210052,Graffiti,Sealed Graffiti | Recoil P90 (Cash Green),0.74
176210061,Graffiti,Sealed Graffiti | Recoil CZ-75 (Jungle Green),0.77
176210064,Graffiti,Sealed Graffiti | Recoil AWP (Tiger Orange),3.67
176210080,Graffiti,Sealed Graffiti | Recoil MP7 (Battle Green),2.17
176210086,Graffiti,Sealed Graffiti | Recoil SG 553 (Wire Blue),0.72
176210099,Graffiti,Sealed Graffiti | Recoil MAC-10 (Tiger Orange),9.16
176210101,Graffiti,Sealed Graffiti | Recoil MP7 (Wire Blue),0.88
176209832,Graffiti,Sealed Graffiti | Recoil UMP-45 (Battle Green),1.9
176209861,Graffiti,Sealed Graffiti | Recoil AK-47 (Monster Purple),3.02
176209863,Graffiti,Sealed Graffiti | Recoil AK-47 (Battle Green),2.44
176209996,Graffiti,Sealed Graffiti | Recoil MAC-10 (Brick Red),0.91
176210110,Graffiti,Sealed Graffiti | Recoil M4A1-S (Blood Red),1.78
176210151,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Monster Purple),0.77
176210153,Graffiti,Sealed Graffiti | Recoil UMP-45 (Blood Red),2.04
176210103,Graffiti,Sealed Graffiti | Recoil M4A4 (SWAT Blue),0.86
176210201,Graffiti,Sealed Graffiti | Recoil AWP (Tracer Yellow),7.26
176210244,Graffiti,Sealed Graffiti | Recoil MAC-10 (Battle Green),0.58
176210318,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Battle Green),0.79
176209778,Graffiti,Sealed Graffiti | Recoil UMP-45 (Tracer Yellow),2.3
176209866,Graffiti,Sealed Graffiti | Recoil UMP-45 (Cash Green),1.8
176209886,Graffiti,Sealed Graffiti | Recoil XM1014 (Dust Brown),0.78
176209908,Graffiti,Sealed Graffiti | Recoil SG 553 (SWAT Blue),0.97
176209910,Graffiti,Sealed Graffiti | Recoil XM1014 (SWAT Blue),0.58
176209912,Graffiti,Sealed Graffiti | Recoil M4A1-S (Violent Violet),2.12
176209924,Graffiti,Sealed Graffiti | Recoil CZ-75 (War Pig Pink),1.1
176209925,Graffiti,Sealed Graffiti | Recoil SG 553 (Princess Pink),1.03
176209929,Graffiti,Sealed Graffiti | Recoil CZ-75 (Tiger Orange),1.23
176209932,Graffiti,Sealed Graffiti | Recoil M4A1-S (SWAT Blue),1.31
176209945,Graffiti,Sealed Graffiti | Recoil XM1014 (Violent Violet),0.79
176209953,Graffiti,Sealed Graffiti | Recoil UMP-45 (Dust Brown),1.71
176209956,Graffiti,Sealed Graffiti | Recoil AK-47 (Desert Amber),2.39
176209977,Graffiti,Sealed Graffiti | Recoil MP9 (Blood Red),1.1
176209979,Graffiti,Sealed Graffiti | Recoil UMP-45 (Princess Pink),1.58
176209800,Graffiti,Sealed Graffiti | Recoil M4A4 (Princess Pink),0.9
176209791,Graffiti,Sealed Graffiti | Recoil AWP (Frog Green),4.72
176209766,Graffiti,Sealed Graffiti | Recoil MP9 (Dust Brown),0.72
176210333,Graffiti,Sealed Graffiti | Recoil SG 553 (Tracer Yellow),1.0
176210335,Graffiti,Sealed Graffiti | Recoil Galil AR (Wire Blue),0.9
176210319,Graffiti,Sealed Graffiti | Recoil MP9 (War Pig Pink),0.74
176210320,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Princess Pink),1.01
176210324,Graffiti,Sealed Graffiti | Recoil FAMAS (Bazooka Pink),1.16
176210247,Graffiti,Sealed Graffiti | Recoil P90 (Tracer Yellow),0.87
176210251,Graffiti,Sealed Graffiti | Recoil CZ-75 (Violent Violet),1.01
176210204,Graffiti,Sealed Graffiti | Recoil CZ-75 (Monster Purple),0.97
176210223,Graffiti,Sealed Graffiti | Recoil M4A4 (Cash Green),0.73
176210253,Graffiti,Sealed Graffiti | Recoil AUG (Tiger Orange),1.03
176210108,Graffiti,Sealed Graffiti | Recoil FAMAS (Brick Red),0.76
176210088,Graffiti,Sealed Graffiti | Recoil MP7 (Princess Pink),0.74
176210130,Graffiti,Sealed Graffiti | Recoil MAC-10 (Monarch Blue),0.75
176209964,Graffiti,Sealed Graffiti | Recoil UMP-45 (War Pig Pink),4.45
176210163,Graffiti,Sealed Graffiti | Recoil MP7 (Violent Violet),0.98
176209803,Graffiti,Sealed Graffiti | Recoil M4A4 (Bazooka Pink),1.11
176210021,Graffiti,Sealed Graffiti | Recoil M4A4 (Frog Green),0.85
176210007,Graffiti,Sealed Graffiti | Recoil P90 (Princess Pink),0.8
176210285,Graffiti,Sealed Graffiti | Recoil M4A4 (Violent Violet),0.92
176210199,Graffiti,Sealed Graffiti | Recoil UMP-45 (Bazooka Pink),1.83
176210119,Graffiti,Sealed Graffiti | Recoil MP7 (Blood Red),1.04
176210212,Graffiti,Sealed Graffiti | Recoil P90 (Violent Violet),0.69
176210082,Graffiti,Sealed Graffiti | Recoil M4A1-S (Wire Blue),1.41
176210008,Graffiti,Sealed Graffiti | Recoil MAC-10 (Princess Pink),0.9
176209926,Graffiti,Sealed Graffiti | Recoil AWP (Cash Green),3.38
176210104,Graffiti,Sealed Graffiti | Recoil AUG (Desert Amber),0.83
176210071,Graffiti,Sealed Graffiti | Recoil FAMAS (Frog Green),0.96
176209855,Graffiti,Sealed Graffiti | Recoil CZ-75 (Shark White),1.11
176209826,Graffiti,Sealed Graffiti | Recoil SG 553 (Brick Red),0.56
176210015,Graffiti,Sealed Graffiti | Recoil AWP (War Pig Pink),3.22
176210209,Graffiti,Sealed Graffiti | Recoil MP9 (Frog Green),0.81
176210063,Graffiti,Sealed Graffiti | Recoil XM1014 (War Pig Pink),0.74
176209965,Graffiti,Sealed Graffiti | Recoil AUG (Frog Green),0.77
176209727,Graffiti,Sealed Graffiti | Recoil UMP-45 (Frog Green),1.2
176210072,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Desert Amber),0.97
176210241,Graffiti,Sealed Graffiti | Recoil Galil AR (SWAT Blue),1.09
176210001,Graffiti,Sealed Graffiti | Recoil AK-47 (War Pig Pink),3.03
176210055,Graffiti,Sealed Graffiti | Recoil UMP-45 (Violent Violet),1.57
176209986,Graffiti,Sealed Graffiti | Recoil XM1014 (Monarch Blue),0.78
176210079,Graffiti,Sealed Graffiti | Recoil AK-47 (Brick Red),2.89
176209906,Graffiti,Sealed Graffiti | Recoil MP7 (Desert Amber),0.73
176210145,Graffiti,Sealed Graffiti | Recoil M4A4 (Tracer Yellow),1.34
176210122,Graffiti,Sealed Graffiti | Recoil M4A1-S (Monarch Blue),1.97
176210009,Graffiti,Sealed Graffiti | Recoil SG 553 (Violent Violet),0.84
176210114,Graffiti,Sealed Graffiti | Recoil SG 553 (Frog Green),0.96
176210120,Graffiti,Sealed Graffiti | Recoil MP9 (SWAT Blue),0.68
176210004,Graffiti,Sealed Graffiti | Recoil AWP (Bazooka Pink),6.25
176210259,Graffiti,Sealed Graffiti | Recoil MP9 (Brick Red),0.83
176210095,Graffiti,Sealed Graffiti | Recoil SG 553 (Dust Brown),0.67
176209913,Graffiti,Sealed Graffiti | Recoil UMP-45 (Monarch Blue),1.05
176209940,Graffiti,Sealed Graffiti | Recoil M4A4 (Tiger Orange),0.98
176209899,Graffiti,Sealed Graffiti | Recoil M4A1-S (Tracer Yellow),1.28
176209852,Graffiti,Sealed Graffiti | Recoil MP9 (Monarch Blue),0.9
176209974,Graffiti,Sealed Graffiti | Recoil AWP (Jungle Green),3.99
176209911,Graffiti,Sealed Graffiti | Recoil M4A4 (Monster Purple),0.89
176209975,Graffiti,Sealed Graffiti | Recoil MAC-10 (Wire Blue),0.73
176209853,Graffiti,Sealed Graffiti | Recoil Galil AR (Battle Green),0.92
176209874,Graffiti,Sealed Graffiti | Recoil AUG (SWAT Blue),1.17
176209795,Graffiti,Sealed Graffiti | Recoil AUG (Brick Red),0.69
176209733,Graffiti,Sealed Graffiti | Recoil AK-47 (Blood Red),6.38
176209881,Graffiti,Sealed Graffiti | Recoil FAMAS (Desert Amber),0.97
176209873,Graffiti,Sealed Graffiti | Recoil XM1014 (Desert Amber),1.56
176210030,Graffiti,Sealed Graffiti | Recoil MAC-10 (Violent Violet),0.82
176210000,Graffiti,Sealed Graffiti | Recoil CZ-75 (Frog Green),0.68
176209889,Graffiti,Sealed Graffiti | Recoil Galil AR (Monster Purple),1.05
176210026,Graffiti,Sealed Graffiti | Recoil AWP (Brick Red),7.34
176210118,Graffiti,Sealed Graffiti | Recoil M4A4 (Wire Blue),1.03
176209984,Graffiti,Sealed Graffiti | Recoil AK-47 (Tracer Yellow),3.17
176210097,Graffiti,Sealed Graffiti | Recoil FAMAS (Tiger Orange),0.78
176210093,Graffiti,Sealed Graffiti | Recoil CZ-75 (Tracer Yellow),0.87
176210102,Graffiti,Sealed Graffiti | Recoil MP9 (Jungle Green),0.68
176209990,Graffiti,Sealed Graffiti | Recoil SG 553 (Tiger Orange),0.81
176209963,Graffiti,Sealed Graffiti | Recoil SG 553 (Shark White),1.54
176210109,Graffiti,Sealed Graffiti | Recoil FAMAS (Monster Purple),1.1
176209746,Graffiti,Sealed Graffiti | Recoil MP7 (Dust Brown),0.71
176209808,Graffiti,Sealed Graffiti | Recoil MP9 (Princess Pink),0.88
176209954,Graffiti,Sealed Graffiti | Recoil MAC-10 (Blood Red),0.76
176209891,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Cash Green),0.89
176209958,Graffiti,Sealed Graffiti | Recoil Galil AR (Princess Pink),0.58
176209871,Graffiti,Sealed Graffiti | Recoil UMP-45 (Shark White),1.89
176209976,Graffiti,Sealed Graffiti | Recoil MP9 (Shark White),0.85
176210076,Graffiti,Sealed Graffiti | Recoil XM1014 (Monster Purple),0.87
176209822,Graffiti,Sealed Graffiti | Recoil Galil AR (Desert Amber),0.69
176210092,Graffiti,Sealed Graffiti | Recoil CZ-75 (Battle Green),0.96
176209718,Graffiti,Sealed Graffiti | Recoil M4A4 (Desert Amber),0.67
176209944,Graffiti,Sealed Graffiti | Recoil SG 553 (War Pig Pink),0.96
176210304,Graffiti,Sealed Graffiti | Recoil MP7 (Shark White),0.75
176209851,Graffiti,Sealed Graffiti | Recoil P90 (Frog Green),0.76
176209909,Graffiti,Sealed Graffiti | Recoil Galil AR (Tiger Orange),0.85
176209619,Graffiti,Sealed Graffiti | Recoil M4A1-S (Tiger Orange),1.08
176209930,Graffiti,Sealed Graffiti | Recoil MAC-10 (War Pig Pink),0.89
176210171,Graffiti,Sealed Graffiti | Recoil AUG (Wire Blue),0.66
176209927,Graffiti,Sealed Graffiti | Recoil SG 553 (Desert Amber),1.49
176210200,Graffiti,Sealed Graffiti | Recoil M4A1-S (Shark White),1.89
176209867,Graffiti,Sealed Graffiti | Recoil AK-47 (Cash Green),2.47
176210243,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Jungle Green),1.1
176209761,Graffiti,Sealed Graffiti | Recoil AK-47 (Shark White),2.97
176209744,Graffiti,Sealed Graffiti | Recoil CZ-75 (Blood Red),0.99
176210294,Graffiti,Sealed Graffiti | Recoil MP7 (Bazooka Pink),0.68
176210278,Graffiti,Sealed Graffiti | Recoil P90 (Shark White),0.76
176210275,Graffiti,Sealed Graffiti | Recoil SG 553 (Monster Purple),0.97
176210267,Graffiti,Sealed Graffiti | Recoil AUG (Blood Red),1.09
176209902,Graffiti,Sealed Graffiti | Recoil AUG (Jungle Green),0.62
176210367,Graffiti,Sealed Graffiti | Recoil MP9 (Tiger Orange),0.71
176209768,Graffiti,Sealed Graffiti | Recoil M4A1-S (Bazooka Pink),1.18
176210159,Graffiti,Sealed Graffiti | Recoil M4A4 (Brick Red),1.07
176209959,Graffiti,Sealed Graffiti | Recoil AUG (Monster Purple),0.83
176210299,Graffiti,Sealed Graffiti | Recoil MP7 (Monarch Blue),0.74
176210363,Graffiti,Sealed Graffiti | Recoil P90 (Desert Amber),0.76
176210270,Graffiti,Sealed Graffiti | Recoil M4A1-S (Desert Amber),0.92
176210040,Graffiti,Sealed Graffiti | Recoil AK-47 (Tiger Orange),2.85
176210131,Graffiti,Sealed Graffiti | Recoil AUG (Princess Pink),0.88
176210213,Graffiti,Sealed Graffiti | Recoil FAMAS (Wire Blue),0.93
176210100,Graffiti,Sealed Graffiti | Recoil MP7 (Monster Purple),0.95
176209999,Graffiti,Sealed Graffiti | Recoil SG 553 (Cash Green),0.81
176210094,Graffiti,Sealed Graffiti | Recoil MAC-10 (Jungle Green),1.8
176210068,Graffiti,Sealed Graffiti | Recoil AWP (Battle Green),3.85
176210070,Graffiti,Sealed Graffiti | Recoil M4A4 (Shark White),0.92
176210291,Graffiti,Sealed Graffiti | Recoil AUG (War Pig Pink),1.06
176210096,Graffiti,Sealed Graffiti | Recoil AK-47 (Jungle Green),2.51
176210296,Graffiti,Sealed Graffiti | Recoil Galil AR (Brick Red),1.24
176210266,Graffiti,Sealed Graffiti | Recoil AWP (SWAT Blue),3.88
176210056,Graffiti,Sealed Graffiti | Recoil AWP (Desert Amber),6.54
176209865,Graffiti,Sealed Graffiti | Recoil AK-47 (Princess Pink),2.4
176210057,Graffiti,Sealed Graffiti | Recoil SG 553 (Battle Green),1.05
176210230,Graffiti,Sealed Graffiti | Recoil P90 (SWAT Blue),0.79
176210322,Graffiti,Sealed Graffiti | Recoil M4A1-S (War Pig Pink),1.52
176210062,Graffiti,Sealed Graffiti | Recoil PP-Bizon (War Pig Pink),0.72
176210044,Graffiti,Sealed Graffiti | Recoil XM1014 (Tiger Orange),0.87
176210028,Graffiti,Sealed Graffiti | Recoil FAMAS (Shark White),0.77
176209824,Graffiti,Sealed Graffiti | Recoil MP9 (Cash Green),0.72
176209898,Graffiti,Sealed Graffiti | Recoil UMP-45 (SWAT Blue),2.08
176209829,Graffiti,Sealed Graffiti | Recoil SG 553 (Jungle Green),0.57
176209802,Graffiti,Sealed Graffiti | Recoil CZ-75 (Cash Green),0.89
176210323,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Dust Brown),0.74
176210032,Graffiti,Sealed Graffiti | Recoil MP7 (Jungle Green),1.01
176209916,Graffiti,Sealed Graffiti | Recoil MP9 (Battle Green),0.75
176209736,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Monarch Blue),0.73
176209684,Graffiti,Sealed Graffiti | Recoil P90 (Bazooka Pink),1.16
176209992,Graffiti,Sealed Graffiti | Recoil Galil AR (Monarch Blue),0.94
176210436,Graffiti,Sealed Graffiti | Recoil UMP-45 (Tiger Orange),1.18
176210121,Graffiti,Sealed Graffiti | Recoil FAMAS (Blood Red),1.18
176210273,Graffiti,Sealed Graffiti | Recoil AK-47 (Violent Violet),3.19
176209877,Graffiti,Sealed Graffiti | Recoil AUG (Shark White),0.65
176210078,Graffiti,Sealed Graffiti | Recoil M4A4 (Blood Red),1.18
176209840,Graffiti,Sealed Graffiti | Recoil MAC-10 (Desert Amber),0.85
176209876,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Violent Violet),1.1
176210179,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Tiger Orange),0.87
176210137,Graffiti,Sealed Graffiti | Recoil AK-47 (Frog Green),2.45
176210111,Graffiti,Sealed Graffiti | Recoil MAC-10 (Bazooka Pink),0.7
176210090,Graffiti,Sealed Graffiti | Recoil MP7 (Tiger Orange),1.04
176210123,Graffiti,Sealed Graffiti | Recoil XM1014 (Battle Green),3.4
176209707,Graffiti,Sealed Graffiti | Recoil AUG (Battle Green),0.84
176210142,Graffiti,Sealed Graffiti | Recoil AWP (Monarch Blue),4.31
176209955,Graffiti,Sealed Graffiti | Recoil XM1014 (Jungle Green),0.7
176209969,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Brick Red),1.17
176209987,Graffiti,Sealed Graffiti | Recoil M4A1-S (Brick Red),0.97
176209966,Graffiti,Sealed Graffiti | Recoil SG 553 (Blood Red),1.06
176209923,Graffiti,Sealed Graffiti | Recoil AWP (Dust Brown),3.12
176209997,Graffiti,Sealed Graffiti | Recoil M4A4 (Monarch Blue),0.88
176209730,Graffiti,Sealed Graffiti | Recoil P90 (Monster Purple),0.67
176210112,Graffiti,Sealed Graffiti | Recoil MAC-10 (Monster Purple),0.82
176209825,Graffiti,Sealed Graffiti | Recoil PP-Bizon (Frog Green),0.97
176209888,Graffiti,Sealed Graffiti | Recoil FAMAS (Dust Brown),0.85
176209857,Graffiti,Sealed Graffiti | Recoil M4A4 (Dust Brown),1.08
176210034,Graffiti,Sealed Graffiti | Recoil P90 (Blood Red),1.1
176209882,Graffiti,Sealed Graffiti | Recoil P90 (Jungle Green),0.82
176209741,Graffiti,Sealed Graffiti | Recoil MP7 (Frog Green),1.93
