Name,Case,Skin,Rarity
M249,Chroma Case,System Lock,Mil_Spec Grade
MP9,Chroma Case,Deadly Poison,Mil_Spec Grade
SCAR-20,Chroma Case,Grotto,Mil_Spec Grade
XM1014,Chroma Case,Quicksilver,Mil_Spec Grade
Dual Berettas,Chroma Case,Urban Shock,Restricted
Desert Eagle,Chroma Case,Naga,Restricted
MAC-10,Chroma Case,Malachite,Restricted
Sawed-Off,Chroma Case,Serenity,Restricted
AK-47,Chroma Case,Cartel,Classified
M4A4,Chroma Case,龍王 (Dragon King),Classified
P250,Chroma Case,Muertos,Classified
AWP,Chroma Case,Man-o'-war,Covert
Galil AR,Chroma Case,Chatterbox,Covert
Knife,Chroma Case,Knife,Exceedingly Rare
PP-Bizon,Clutch Case,Night Riot,Mil_Spec Grade
Five-SeveN,Clutch Case,Flame Test,Mil_Spec Grade
MP9,Clutch Case,Black Sand,Mil_Spec Grade
P2000,Clutch Case,Urban Hazard,Mil_Spec Grade
R8 Revolver,Clutch Case,Grip,Mil_Spec Grade
SG 553,Clutch Case,Aloha,Mil_Spec Grade
XM1014,Clutch Case,Oxide Blaze,Mil_Spec Grade
Glock-18,Clutch Case,Moonrise,Restricted
Negev,Clutch Case,Lionfish,Restricted
Nova,Clutch Case,Wild Six,Restricted
MAG-7,Clutch Case,SWAG-7,Restricted
UMP-45,Clutch Case,Arctic Wolf,Restricted
AUG,Clutch Case,Stymphalian,Classified
AWP,Clutch Case,Mortis,Classified
USP-S,Clutch Case,Cortex,Classified
M4A4,Clutch Case,Neo-Noir,Covert
MP7,Clutch Case,Bloodsport,Covert
Gloves,Clutch Case,Gloves,Exceedingly Rare
Dual Berettas,CS20 Case,Elite 1.6,Mil_Spec Grade
Tec-9,CS20 Case,Flash Out,Mil_Spec Grade
MAC-10,CS20 Case,Classic Crate,Mil_Spec Grade
MAG-7,CS20 Case,Popdog,Mil_Spec Grade
SCAR-20,CS20 Case,Assault,Mil_Spec Grade
FAMAS,CS20 Case,Decommissioned,Mil_Spec Grade
Glock-18,CS20 Case,Sacrifice,Mil_Spec Grade
M249,CS20 Case,Aztec,Restricted
MP5-SD,CS20 Case,Agent,Restricted
Five-SeveN,CS20 Case,Buddy,Restricted
P250,CS20 Case,Inferno,Restricted
UMP-45,CS20 Case,Plastique,Restricted
MP9,CS20 Case,Hydra,Classified
P90,CS20 Case,Nostalgia,Classified
AUG,CS20 Case,Death by Puppy,Classified
AWP,CS20 Case,Wildfire,Covert
FAMAS,CS20 Case,Commemoration,Covert
Knife,CS20 Case,Knife,Exceedingly Rare
Tec-9,CSGO Weapon Case 2,Blue Titanium,Mil_Spec Grade
M4A1-S,CSGO Weapon Case 2,Blood Tiger,Mil_Spec Grade
FAMAS,CSGO Weapon Case 2,Hexane,Mil_Spec Grade
P250,CSGO Weapon Case 2,Hive,Mil_Spec Grade
SCAR-20,CSGO Weapon Case 2,Crimson Web,Mil_Spec Grade
Five-SeveN,CSGO Weapon Case 2,Case Hardened,Restricted
MP9,CSGO Weapon Case 2,Hypnotic,Restricted
Nova,CSGO Weapon Case 2,Graphite,Restricted
Dual Berettas,CSGO Weapon Case 2,Hemoglobin,Restricted
P90,CSGO Weapon Case 2,Cold Blooded,Classified
USP-S,CSGO Weapon Case 2,Serum,Classified
SSG 08,CSGO Weapon Case 2,Blood in the Water,Covert
Knife,CSGO Weapon Case 2,Knife,Exceedingly Rare
CZ75-Auto,CSGO Weapon Case 3,Crimson Web,Mil_Spec Grade
P2000,CSGO Weapon Case 3,Red FragCam,Mil_Spec Grade
Dual Berettas,CSGO Weapon Case 3,Panther,Mil_Spec Grade
USP-S,CSGO Weapon Case 3,Stainless,Mil_Spec Grade
Glock-18,CSGO Weapon Case 3,Blue Fissure,Mil_Spec Grade
CZ75-Auto,CSGO Weapon Case 3,Tread Plate,Restricted
Tec-9,CSGO Weapon Case 3,Titanium Bit,Restricted
Desert Eagle,CSGO Weapon Case 3,Heirloom,Restricted
Five-SeveN,CSGO Weapon Case 3,Copper Galaxy,Restricted
CZ75-Auto,CSGO Weapon Case 3,The Fuschia Is Now,Classified
P250,CSGO Weapon Case 3,Undertow,Classified
CZ75-Auto,CSGO Weapon Case 3,Victoria,Covert
Knife,CSGO Weapon Case 3,Knife,Exceedingly Rare
MP7,CSGO Weapon Case,Skulls,Mil_Spec Grade
AUG,CSGO Weapon Case,Wings,Mil_Spec Grade
SG 553,CSGO Weapon Case,Ultraviolet,Mil_Spec Grade
Glock-18,CSGO Weapon Case,Dragon Tattoo,Restricted
USP-S,CSGO Weapon Case,Dark Water,Restricted
M4A1-S,CSGO Weapon Case,Dark Water,Restricted
AK-47,CSGO Weapon Case,Case Hardened,Classified
Desert Eagle,CSGO Weapon Case,Hypnotic,Classified
AWP,CSGO Weapon Case,Lightning Strike,Covert
Knife,CSGO Weapon Case,Knife,Exceedingly Rare
MP9,Danger Zone Case,Modest Threat,Mil_Spec Grade
Glock-18,Danger Zone Case,Oxide Blaze,Mil_Spec Grade
Nova,Danger Zone Case,Wood Fired,Mil_Spec Grade
M4A4,Danger Zone Case,Magnesium,Mil_Spec Grade
Sawed-Off,Danger Zone Case,Black Sand,Mil_Spec Grade
SG 553,Danger Zone Case,Danger Close,Mil_Spec Grade
Tec-9,Danger Zone Case,Fubar,Mil_Spec Grade
G3SG1,Danger Zone Case,Scavenger,Restricted
Galil AR,Danger Zone Case,Signal,Restricted
MAC-10,Danger Zone Case,Pipe Down,Restricted
P250,Danger Zone Case,Nevermore,Restricted
USP-S,Danger Zone Case,Flashback,Restricted
UMP-45,Danger Zone Case,Momentum,Classified
Desert Eagle,Danger Zone Case,Mecha Industries,Classified
MP5-SD,Danger Zone Case,Phosphor,Classified
AK-47,Danger Zone Case,Asiimov,Covert
AWP,Danger Zone Case,Neo-Noir,Covert
Knife,Danger Zone Case,Knife,Exceedingly Rare
Five-SeveN,Dreams and Nightmares Case,Scrawl,Mil_Spec Grade
MAC-10,Dreams and Nightmares Case,Ensnared,Mil_Spec Grade
MAG-7,Dreams and Nightmares Case,Foresight,Mil_Spec Grade
MP5-SD,Dreams and Nightmares Case,Necro Jr.,Mil_Spec Grade
P2000,Dreams and Nightmares Case,Lifted Spirits,Mil_Spec Grade
SCAR-20,Dreams and Nightmares Case,Poultrygeist,Mil_Spec Grade
Sawed-Off,Dreams and Nightmares Case,Spirit Board,Mil_Spec Grade
PP-Bizon,Dreams and Nightmares Case,Space Cat,Restricted
G3SG1,Dreams and Nightmares Case,Dream Glade,Restricted
M4A1-S,Dreams and Nightmares Case,Night Terror,Restricted
XM1014,Dreams and Nightmares Case,Zombie Offensive,Restricted
USP-S,Dreams and Nightmares Case,Ticket to Hell,Restricted
Dual Berettas,Dreams and Nightmares Case,Melondrama,Classified
FAMAS,Dreams and Nightmares Case,Rapid Eye Movement,Classified
MP7,Dreams and Nightmares Case,Abyssal Apparition,Classified
AK-47,Dreams and Nightmares Case,Nightwish,Covert
MP9,Dreams and Nightmares Case,Starlight Protector,Covert
Knife,Dreams and Nightmares Case,Knife,Exceedingly Rare
M4A4,eSports 2013 Case,Faded Zebra,Mil_Spec Grade
MAG-7,eSports 2013 Case,Memento,Mil_Spec Grade
FAMAS,eSports 2013 Case,Doomkitty,Mil_Spec Grade
Galil AR,eSports 2013 Case,Orange DDPAT,Restricted
Sawed-Off,eSports 2013 Case,Orange DDPAT,Restricted
P250,eSports 2013 Case,Splash,Restricted
AK-47,eSports 2013 Case,Red Laminate,Classified
AWP,eSports 2013 Case,BOOM,Classified
P90,eSports 2013 Case,Death by Kitty,Covert
Knife,eSports 2013 Case,Knife,Exceedingly Rare
Galil AR,eSports 2013 Winter Case,Blue Titanium,Mil_Spec Grade
Five-SeveN,eSports 2013 Winter Case,Nightshade,Mil_Spec Grade
PP-Bizon,eSports 2013 Winter Case,Water Sigil,Mil_Spec Grade
Nova,eSports 2013 Winter Case,Ghost Camo,Mil_Spec Grade
G3SG1,eSports 2013 Winter Case,Azure Zebra,Mil_Spec Grade
P250,eSports 2013 Winter Case,Steel Disruption,Mil_Spec Grade
AK-47,eSports 2013 Winter Case,Blue Laminate,Restricted
P90,eSports 2013 Winter Case,Blind Spot,Restricted
FAMAS,eSports 2013 Winter Case,Afterimage,Classified
AWP,eSports 2013 Winter Case,Electric Hive,Classified
Desert Eagle,eSports 2013 Winter Case,Cobalt Disruption,Classified
M4A4,eSports 2013 Winter Case,X-Ray,Covert
Knife,eSports 2013 Winter Case,Knife,Exceedingly Rare
SSG 08,eSports 2014 Winter Case,Dark Water,Mil_Spec Grade
MAC-10,eSports 2014 Winter Case,Ultraviolet,Mil_Spec Grade
USP-S,eSports 2014 Winter Case,Blood Tiger,Mil_Spec Grade
CZ75-Auto,eSports 2014 Winter Case,Hexane,Mil_Spec Grade
Negev,eSports 2014 Winter Case,Bratatat,Mil_Spec Grade
XM1014,eSports 2014 Winter Case,Red Python,Mil_Spec Grade
PP-Bizon,eSports 2014 Winter Case,Blue Streak,Restricted
P90,eSports 2014 Winter Case,Virus,Restricted
MP7,eSports 2014 Winter Case,Ocean Foam,Restricted
Glock-18,eSports 2014 Winter Case,Steel Disruption,Restricted
Desert Eagle,eSports 2014 Winter Case,Crimson Web,Restricted
AUG,eSports 2014 Winter Case,Bengal Tiger,Classified
Nova,eSports 2014 Winter Case,Bloomstick,Classified
AWP,eSports 2014 Winter Case,Corticera,Classified
P2000,eSports 2014 Winter Case,Corticera,Classified
M4A4,eSports 2014 Winter Case,Bullet Rain,Covert
AK-47,eSports 2014 Winter Case,Jaguar,Covert
Knife,eSports 2014 Winter Case,Knife,Exceedingly Rare
Galil AR,Falchion Case,Rocket Pop,Mil_Spec Grade
Glock-18,Falchion Case,Bunsen Burner,Mil_Spec Grade
Nova,Falchion Case,Ranger,Mil_Spec Grade
P90,Falchion Case,Elite Build,Mil_Spec Grade
UMP-45,Falchion Case,Riot,Mil_Spec Grade
USP-S,Falchion Case,Torque,Mil_Spec Grade
FAMAS,Falchion Case,Neural Net,Restricted
M4A4,Falchion Case,Evil Daimyo,Restricted
MP9,Falchion Case,Ruby Poison Dart,Restricted
Negev,Falchion Case,Loudmouth,Restricted
P2000,Falchion Case,Handgun,Restricted
CZ75-Auto,Falchion Case,Yellow Jacket,Classified
MP7,Falchion Case,Nemesis,Classified
SG 553,Falchion Case,Cyrex,Classified
AK-47,Falchion Case,Aquamarine Revenge,Covert
AWP,Falchion Case,Hyper Beast,Covert
Knife,Falchion Case,Knife,Exceedingly Rare
Negev,Fracture Case,Ultralight,Mil_Spec Grade
P2000,Fracture Case,Gnarled,Mil_Spec Grade
SG 553,Fracture Case,Ol' Rusty,Mil_Spec Grade
SSG 08,Fracture Case,Mainframe 001,Mil_Spec Grade
P250,Fracture Case,Cassette,Mil_Spec Grade
P90,Fracture Case,Freight,Mil_Spec Grade
PP-Bizon,Fracture Case,Runic,Mil_Spec Grade
MAG-7,Fracture Case,Monster Call,Restricted
Tec-9,Fracture Case,Brother,Restricted
MAC-10,Fracture Case,Allure,Restricted
Galil AR,Fracture Case,Connexion,Restricted
MP5-SD,Fracture Case,Kitbash,Restricted
M4A4,Fracture Case,Tooth Fairy,Classified
Glock-18,Fracture Case,Vogue,Classified
XM1014,Fracture Case,Entombed,Classified
Desert Eagle,Fracture Case,Printstream,Covert
AK-47,Fracture Case,Legion of Anubis,Covert
Knife,Fracture Case,Knife,Exceedingly Rare
CZ75-Auto,Gamma 2 Case,Imprint,Mil_Spec Grade
Five-SeveN,Gamma 2 Case,Scumbria,Mil_Spec Grade
G3SG1,Gamma 2 Case,Ventilator,Mil_Spec Grade
Negev,Gamma 2 Case,Dazzle,Mil_Spec Grade
P90,Gamma 2 Case,Grim,Mil_Spec Grade
UMP-45,Gamma 2 Case,Briefing,Mil_Spec Grade
XM1014,Gamma 2 Case,Slipstream,Mil_Spec Grade
Desert Eagle,Gamma 2 Case,Directive,Restricted
Glock-18,Gamma 2 Case,Weasel,Restricted
MAG-7,Gamma 2 Case,Petroglyph,Restricted
SCAR-20,Gamma 2 Case,Powercore,Restricted
SG 553,Gamma 2 Case,Triarch,Restricted
AUG,Gamma 2 Case,Syd Mead,Classified
MP9,Gamma 2 Case,Airlock,Classified
Tec-9,Gamma 2 Case,Fuel Injector,Classified
AK-47,Gamma 2 Case,Neon Revolution,Covert
FAMAS,Gamma 2 Case,Roll Cage,Covert
Knife,Gamma 2 Case,Knife,Exceedingly Rare
Five-SeveN,Gamma Case,Violent Daimyo,Mil_Spec Grade
MAC-10,Gamma Case,Carnivore,Mil_Spec Grade
Nova,Gamma Case,Exo,Mil_Spec Grade
P250,Gamma Case,Iron Clad,Mil_Spec Grade
PP-Bizon,Gamma Case,Harvester,Mil_Spec Grade
SG 553,Gamma Case,Aerial,Mil_Spec Grade
Tec-9,Gamma Case,Ice Cap,Mil_Spec Grade
AUG,Gamma Case,Aristocrat,Restricted
AWP,Gamma Case,Phobos,Restricted
P90,Gamma Case,Chopper,Restricted
R8 Revolver,Gamma Case,Reboot,Restricted
Sawed-Off,Gamma Case,Limelight,Restricted
M4A4,Gamma Case,Desolate Space,Classified
P2000,Gamma Case,Imperial Dragon,Classified
SCAR-20,Gamma Case,Bloodsport,Classified
Glock-18,Gamma Case,Wasteland Rebel,Covert
M4A1-S,Gamma Case,Mecha Industries,Covert
Knife,Gamma Case,Knife,Exceedingly Rare
CZ75-Auto,Glove Case,Polymer,Mil_Spec Grade
Glock-18,Glove Case,Ironwork,Mil_Spec Grade
MP7,Glove Case,Cirrus,Mil_Spec Grade
Galil AR,Glove Case,Black Sand,Mil_Spec Grade
MP9,Glove Case,Sand Scale,Mil_Spec Grade
MAG-7,Glove Case,Sonar,Mil_Spec Grade
P2000,Glove Case,Turf,Mil_Spec Grade
Dual Berettas,Glove Case,Royal Consorts,Restricted
G3SG1,Glove Case,Stinger,Restricted
M4A1-S,Glove Case,Flashback,Restricted
Nova,Glove Case,Gila,Restricted
USP-S,Glove Case,Cyrex,Restricted
FAMAS,Glove Case,Mecha Industries,Classified
P90,Glove Case,Shallow Grave,Classified
Sawed-Off,Glove Case,Wasteland Princess,Classified
SSG 08,Glove Case,Dragonfire,Covert
M4A4,Glove Case,Buzz Kill,Covert
Gloves,Glove Case,Gloves,Exceedingly Rare
AUG,Horizon Case,Amber Slipstream,Mil_Spec Grade
Dual Berettas,Horizon Case,Shred,Mil_Spec Grade
Glock-18,Horizon Case,Warhawk,Mil_Spec Grade
MP9,Horizon Case,Capillary,Mil_Spec Grade
P90,Horizon Case,Traction,Mil_Spec Grade
R8 Revolver,Horizon Case,Survivalist,Mil_Spec Grade
Tec-9,Horizon Case,Snek-9,Mil_Spec Grade
CZ75-Auto,Horizon Case,Eco,Restricted
G3SG1,Horizon Case,High Seas,Restricted
Nova,Horizon Case,Toy Soldier,Restricted
AWP,Horizon Case,PAW,Restricted
MP7,Horizon Case,Powercore,Restricted
M4A1-S,Horizon Case,Nightmare,Classified
Sawed-Off,Horizon Case,Devourer,Classified
FAMAS,Horizon Case,Eye of Athena,Classified
AK-47,Horizon Case,Neon Rider,Covert
Desert Eagle,Horizon Case,Code Red,Covert
Knife,Horizon Case,Knife,Exceedingly Rare
Tec-9,Huntsman Weapon Case,Isaac,Mil_Spec Grade
SSG 08,Huntsman Weapon Case,Slashed,Mil_Spec Grade
Galil AR,Huntsman Weapon Case,Kami,Mil_Spec Grade
CZ75-Auto,Huntsman Weapon Case,Twist,Mil_Spec Grade
P90,Huntsman Weapon Case,Module,Mil_Spec Grade
P2000,Huntsman Weapon Case,Pulse,Mil_Spec Grade
AUG,Huntsman Weapon Case,Torque,Restricted
PP-Bizon,Huntsman Weapon Case,Antique,Restricted
XM1014,Huntsman Weapon Case,Heaven Guard,Restricted
MAC-10,Huntsman Weapon Case,Tatter,Restricted
M4A1-S,Huntsman Weapon Case,Atomic Alloy,Classified
SCAR-20,Huntsman Weapon Case,Cyrex,Classified
USP-S,Huntsman Weapon Case,Caiman,Classified
AK-47,Huntsman Weapon Case,Vulcan,Covert
M4A4,Huntsman Weapon Case,Desert-Strike,Covert
Knife,Huntsman Weapon Case,Knife,Exceedingly Rare
SG 553,Operation Bravo Case,Wave Spray,Mil_Spec Grade
Dual Berettas,Operation Bravo Case,Black Limba,Mil_Spec Grade
Nova,Operation Bravo Case,Tempest,Mil_Spec Grade
Galil AR,Operation Bravo Case,Shattered,Mil_Spec Grade
UMP-45,Operation Bravo Case,Bone Pile,Mil_Spec Grade
G3SG1,Operation Bravo Case,Demeter,Mil_Spec Grade
USP-S,Operation Bravo Case,Overgrowth,Restricted
M4A4,Operation Bravo Case,Zirka,Restricted
MAC-10,Operation Bravo Case,Graven,Restricted
M4A1-S,Operation Bravo Case,Bright Water,Restricted
P90,Operation Bravo Case,Emerald Dragon,Classified
P2000,Operation Bravo Case,Ocean Foam,Classified
AWP,Operation Bravo Case,Graphite,Classified
AK-47,Operation Bravo Case,Fire Serpent,Covert
Desert Eagle,Operation Bravo Case,Golden Koi,Covert
Knife,Operation Bravo Case,Knife,Exceedingly Rare
MP7,Operation Breakout Weapon Case,Urban Hazard,Mil_Spec Grade
Negev,Operation Breakout Weapon Case,Desert-Strike,Mil_Spec Grade
P2000,Operation Breakout Weapon Case,Ivory,Mil_Spec Grade
SSG 08,Operation Breakout Weapon Case,Abyss,Mil_Spec Grade
UMP-45,Operation Breakout Weapon Case,Labyrinth,Mil_Spec Grade
PP-Bizon,Operation Breakout Weapon Case,Osiris,Restricted
CZ75-Auto,Operation Breakout Weapon Case,Tigris,Restricted
Nova,Operation Breakout Weapon Case,Koi,Restricted
P250,Operation Breakout Weapon Case,Supernova,Restricted
Desert Eagle,Operation Breakout Weapon Case,Conspiracy,Classified
Five-SeveN,Operation Breakout Weapon Case,Fowl Play,Classified
Glock-18,Operation Breakout Weapon Case,Water Elemental,Classified
P90,Operation Breakout Weapon Case,Asiimov,Covert
M4A1-S,Operation Breakout Weapon Case,Cyrex,Covert
Knife,Operation Breakout Weapon Case,Knife,Exceedingly Rare
CZ75-Auto,Operation Broken Fang Case,Vendetta,Mil_Spec Grade
P90,Operation Broken Fang Case,Cocoa Rampage,Mil_Spec Grade
G3SG1,Operation Broken Fang Case,Digital Mesh,Mil_Spec Grade
Galil AR,Operation Broken Fang Case,Vandal,Mil_Spec Grade
P250,Operation Broken Fang Case,Contaminant,Mil_Spec Grade
M249,Operation Broken Fang Case,Deep Relief,Mil_Spec Grade
MP5-SD,Operation Broken Fang Case,Condition Zero,Mil_Spec Grade
AWP,Operation Broken Fang Case,Exoskeleton,Restricted
Dual Berettas,Operation Broken Fang Case,Dezastre,Restricted
Nova,Operation Broken Fang Case,Clear Polymer,Restricted
SSG 08,Operation Broken Fang Case,Parallax,Restricted
UMP-45,Operation Broken Fang Case,Gold Bismuth,Restricted
Five-SeveN,Operation Broken Fang Case,Fairy Tale,Classified
M4A4,Operation Broken Fang Case,Cyber Security,Classified
USP-S,Operation Broken Fang Case,Monster Mashup,Classified
M4A1-S,Operation Broken Fang Case,Printstream,Covert
Glock-18,Operation Broken Fang Case,Neo-Noir,Covert
Gloves,Operation Broken Fang Case,Gloves,Exceedingly Rare
USP-S,Operation Hydra Case,Blueprint,Mil_Spec Grade
FAMAS,Operation Hydra Case,Macabre,Mil_Spec Grade
M4A1-S,Operation Hydra Case,Briefing,Mil_Spec Grade
MAC-10,Operation Hydra Case,Aloha,Mil_Spec Grade
MAG-7,Operation Hydra Case,Hard Water,Mil_Spec Grade
Tec-9,Operation Hydra Case,Cut Out,Mil_Spec Grade
UMP-45,Operation Hydra Case,Metal Flowers,Mil_Spec Grade
AK-47,Operation Hydra Case,Orbit Mk01,Restricted
P2000,Operation Hydra Case,Woodsman,Restricted
P250,Operation Hydra Case,Red Rock,Restricted
P90,Operation Hydra Case,Death Grip,Restricted
SSG 08,Operation Hydra Case,Death's Head,Restricted
Dual Berettas,Operation Hydra Case,Cobra Strike,Classified
Galil AR,Operation Hydra Case,Sugar Rush,Classified
M4A4,Operation Hydra Case,Hellfire,Classified
Five-SeveN,Operation Hydra Case,Hyper Beast,Covert
AWP,Operation Hydra Case,Oni Taiji,Covert
Gloves,Operation Hydra Case,Gloves,Exceedingly Rare
UMP-45,Operation Phoenix Weapon Case,Corporal,Mil_Spec Grade
Negev,Operation Phoenix Weapon Case,Terrain,Mil_Spec Grade
Tec-9,Operation Phoenix Weapon Case,Sandstorm,Mil_Spec Grade
MAG-7,Operation Phoenix Weapon Case,Heaven Guard,Mil_Spec Grade
MAC-10,Operation Phoenix Weapon Case,Heat,Restricted
SG 553,Operation Phoenix Weapon Case,Pulse,Restricted
FAMAS,Operation Phoenix Weapon Case,Sergeant,Restricted
USP-S,Operation Phoenix Weapon Case,Guardian,Restricted
AK-47,Operation Phoenix Weapon Case,Redline,Classified
P90,Operation Phoenix Weapon Case,Trigon,Classified
Nova,Operation Phoenix Weapon Case,Antique,Classified
AWP,Operation Phoenix Weapon Case,Asiimov,Covert
AUG,Operation Phoenix Weapon Case,Chameleon,Covert
Knife,Operation Phoenix Weapon Case,Knife,Exceedingly Rare
AUG,Operation Riptide Case,Plague,Mil_Spec Grade
Dual Berettas,Operation Riptide Case,Tread,Mil_Spec Grade
G3SG1,Operation Riptide Case,Keeping Tabs,Mil_Spec Grade
MP7,Operation Riptide Case,Guerrilla,Mil_Spec Grade
PP-Bizon,Operation Riptide Case,Lumen,Mil_Spec Grade
USP-S,Operation Riptide Case,Black Lotus,Mil_Spec Grade
XM1014,Operation Riptide Case,Watchdog,Mil_Spec Grade
MAG-7,Operation Riptide Case,BI83 Spectrum,Restricted
FAMAS,Operation Riptide Case,ZX Spectron,Restricted
Five-SeveN,Operation Riptide Case,Boost Protocol,Restricted
MP9,Operation Riptide Case,Mount Fuji,Restricted
M4A4,Operation Riptide Case,Spider Lily,Restricted
MAC-10,Operation Riptide Case,Toybox,Classified
Glock-18,Operation Riptide Case,Snack Attack,Classified
SSG 08,Operation Riptide Case,Turbo Peek,Classified
AK-47,Operation Riptide Case,Leet Museo,Covert
Desert Eagle,Operation Riptide Case,Ocean Drive,Covert
Knife,Operation Riptide Case,Knife,Exceedingly Rare
G3SG1,Operation Vanguard Weapon Case,Murky,Mil_Spec Grade
MAG-7,Operation Vanguard Weapon Case,Firestarter,Mil_Spec Grade
MP9,Operation Vanguard Weapon Case,Dart,Mil_Spec Grade
Five-SeveN,Operation Vanguard Weapon Case,Urban Hazard,Mil_Spec Grade
UMP-45,Operation Vanguard Weapon Case,Delusion,Mil_Spec Grade
Glock-18,Operation Vanguard Weapon Case,Grinder,Restricted
M4A1-S,Operation Vanguard Weapon Case,Basilisk,Restricted
M4A4,Operation Vanguard Weapon Case,Griffin,Restricted
Sawed-Off,Operation Vanguard Weapon Case,Highwayman,Restricted
P250,Operation Vanguard Weapon Case,Cartel,Classified
SCAR-20,Operation Vanguard Weapon Case,Cardiac,Classified
XM1014,Operation Vanguard Weapon Case,Tranquility,Classified
AK-47,Operation Vanguard Weapon Case,Wasteland Rebel,Covert
P2000,Operation Vanguard Weapon Case,Fire Elemental,Covert
Knife,Operation Vanguard Weapon Case,Knife,Exceedingly Rare
PP-Bizon,Operation Wildfire Case,Photic Zone,Mil_Spec Grade
Dual Berettas,Operation Wildfire Case,Cartel,Mil_Spec Grade
MAC-10,Operation Wildfire Case,Lapis Gator,Mil_Spec Grade
SSG 08,Operation Wildfire Case,Necropos,Mil_Spec Grade
Tec-9,Operation Wildfire Case,Jambiya,Mil_Spec Grade
USP-S,Operation Wildfire Case,Lead Conduit,Mil_Spec Grade
FAMAS,Operation Wildfire Case,Valence,Restricted
Five-SeveN,Operation Wildfire Case,Triumvirate,Restricted
Glock-18,Operation Wildfire Case,Royal Legion,Restricted
MAG-7,Operation Wildfire Case,Praetorian,Restricted
MP7,Operation Wildfire Case,Impire,Restricted
AWP,Operation Wildfire Case,Elite Build,Classified
Desert Eagle,Operation Wildfire Case,Kumicho Dragon,Classified
Nova,Operation Wildfire Case,Hyper Beast,Classified
AK-47,Operation Wildfire Case,Fuel Injector,Covert
M4A4,Operation Wildfire Case,The Battlestar,Covert
Knife,Operation Wildfire Case,Knife,Exceedingly Rare
AUG,Prisma 2 Case,Tom Cat,Mil_Spec Grade
AWP,Prisma 2 Case,Capillary,Mil_Spec Grade
CZ75-Auto,Prisma 2 Case,Distressed,Mil_Spec Grade
Desert Eagle,Prisma 2 Case,Blue Ply,Mil_Spec Grade
MP5-SD,Prisma 2 Case,Desert Strike,Mil_Spec Grade
Negev,Prisma 2 Case,Prototype,Mil_Spec Grade
R8 Revolver,Prisma 2 Case,Bone Forged,Mil_Spec Grade
P2000,Prisma 2 Case,Acid Etched,Restricted
Sawed-Off,Prisma 2 Case,Apocalypto,Restricted
SCAR-20,Prisma 2 Case,Enforcer,Restricted
SG 553,Prisma 2 Case,Darkwing,Restricted
SSG 08,Prisma 2 Case,Fever Dream,Restricted
AK-47,Prisma 2 Case,Phantom Disruptor,Classified
MAC-10,Prisma 2 Case,Disco Tech,Classified
MAG-7,Prisma 2 Case,Justice,Classified
M4A1-S,Prisma 2 Case,Player Two,Covert
Glock-18,Prisma 2 Case,Bullet Queen,Covert
Knife,Prisma 2 Case,Knife,Exceedingly Rare
FAMAS,Prisma Case,Crypsis,Mil_Spec Grade
AK-47,Prisma Case,Uncharted,Mil_Spec Grade
MAC-10,Prisma Case,Whitefish,Mil_Spec Grade
Galil AR,Prisma Case,Akoben,Mil_Spec Grade
MP7,Prisma Case,Mischief,Mil_Spec Grade
P250,Prisma Case,Verdigris,Mil_Spec Grade
P90,Prisma Case,Off World,Mil_Spec Grade
AWP,Prisma Case,Atheris,Restricted
