Float Value,Mil-Spec,Restricted,Classified
0.237,5.0,20.84,126.11
0.238,5.0,20.84,126.11
0.239,5.0,20.84,126.11
0.24,5.0,20.84,126.11
0.241,5.0,20.84,126.11
0.242,5.0,20.84,126.11
0.243,5.0,20.84,126.11
0.244,5.0,20.84,126.11
0.245,5.0,20.84,126.11
0.246,5.0,20.84,126.11
0.247,5.0,20.84,126.11
0.248,5.0,20.84,126.11
0.249,5.0,20.84,126.11
0.25,4.49,20.84,126.11
0.251,4.49,20.84,126.11
0.252,4.49,20.84,126.11
0.253,4.49,20.84,126.11
0.254,4.49,20.84,126.11
0.255,4.49,20.84,126.11
0.256,4.49,20.84,126.11
0.257,4.49,20.84,126.11
0.258,4.49,20.84,126.11
0.259,4.49,20.84,126.11
0.26,4.49,20.84,126.11
0.261,4.49,20.84,126.11
0.262,4.49,20.84,126.11
0.263,4.49,20.84,126.11
0.264,4.49,20.84,126.11
0.265,4.49,20.84,126.11
0.266,4.49,20.84,126.11
0.267,4.49,20.84,126.11
0.268,4.49,20.84,126.11
0.269,4.49,20.84,126.11
0.27,4.49,20.84,126.11
0.271,4.49,20.84,126.11
0.272,4.49,20.84,126.11
0.273,4.49,20.84,126.11
0.274,4.49,20.84,126.11
0.275,4.49,20.84,126.11
0.276,4.49,20.84,126.11
0.277,4.49,20.84,126.11
0.278,4.49,20.84,126.11
0.279,4.49,20.84,126.11
0.28,4.49,20.84,126.11
0.281,4.49,20.84,126.11
0.282,4.49,20.84,126.11
0.283,4.49,20.84,126.11
0.284,4.49,20.84,126.11
0.285,4.49,20.84,126.11
0.286,4.49,20.84,126.11
0.287,4.49,20.84,126.11
0.288,4.49,20.84,126.11
0.289,4.49,20.84,126.11
0.29,4.49,20.84,126.11
0.291,4.49,20.84,126.11
0.292,4.49,20.84,126.11
0.293,4.49,20.84,126.11
0.294,3.58,20.84,126.11
0.295,3.58,20.84,126.11
0.296,3.58,20.84,126.11
0.297,3.58,20.84,126.11
0.298,3.58,20.84,126.11
0.299,3.58,20.84,126.11
0.3,3.58,20.84,126.11
0.301,3.58,20.84,126.11
0.302,3.58,20.84,126.11
0.303,3.58,20.84,126.11
0.304,3.58,20.84,126.11
0.305,3.58,20.84,126.11
0.306,3.58,20.84,126.11
0.307,3.58,20.84,126.11
0.308,3.58,20.84,126.11
0.309,3.58,20.84,126.11
0.31,3.58,20.84,126.11
0.311,3.58,20.84,126.11
0.312,3.58,20.84,126.11
0.313,3.58,20.84,126.11
0.314,3.58,20.84,126.11
0.315,3.58,20.84,126.11
0.316,3.58,20.84,126.11
0.317,3.58,20.84,126.11
0.318,3.58,20.84,126.11
0.319,3.58,20.84,126.11
0.32,3.58,20.84,126.11
0.321,3.58,20.84,126.11
0.322,3.58,20.84,126.11
0.323,3.58,20.84,126.11
0.324,3.58,20.84,126.11
0.325,3.58,20.84,126.11
0.326,3.58,20.84,126.11
0.327,3.58,20.84,126.11
0.328,3.58,20.84,126.11
0.329,3.58,20.84,126.11
0.33,3.58,20.84,126.11
0.331,3.58,20.84,126.11
0.332,3.58,20.84,126.11
0.333,3.58,20.84,126.11
0.334,3.58,20.84,126.11
0.335,3.58,20.84,126.11
0.336,3.58,20.84,126.11
0.337,3.58,20.84,126.11
0.338,3.58,20.84,126.11
0.339,3.58,20.84,126.11
0.34,3.58,20.84,126.11
0.341,3.58,20.84,126.11
0.342,3.58,20.84,126.11
0.343,3.58,20.84,126.11
0.344,3.58,20.84,126.11
0.345,3.58,20.84,126.11
0.346,3.58,20.84,126.11
0.347,3.58,20.84,126.11
0.348,3.58,20.84,126.11
0.349,3.58,20.84,126.11
0.35,3.58,20.84,126.11
0.351,3.58,20.84,126.11
0.352,3.58,20.84,126.11
0.353,3.58,20.84,126.11
0.354,3.58,20.84,126.11
0.355,3.58,20.84,126.11
0.356,3.58,20.84,126.11
0.357,3.58,20.84,126.11
0.358,3.58,20.84,126.11
0.359,3.58,20.84,126.11
0.36,3.58,20.84,126.11
0.361,3.58,20.84,126.11
0.362,3.58,20.84,126.11
0.363,3.58,20.84,126.11
0.364,3.58,20.84,126.11
0.365,3.58,20.84,126.11
0.366,3.58,20.84,126.11
0.367,3.58,20.84,126.11
0.368,3.58,20.84,126.11
0.369,3.58,20.84,126.11
0.37,3.58,20.84,126.11
0.371,3.58,20.84,126.11
0.372,3.58,20.84,126.11
0.373,3.58,20.84,126.11
0.374,3.58,20.84,126.11
0.375,3.58,20.84,126.11
0.376,3.58,20.84,126.11
0.377,3.58,20.84,126.11
0.378,3.58,20.84,126.11
0.379,3.58,20.84,126.11
0.38,3.53,18.02,90.0
0.381,3.53,18.02,90.0
0.382,3.53,18.02,90.0
0.383,3.53,18.02,90.0
0.384,3.53,18.02,90.0
0.385,3.53,18.02,90.0
0.386,3.53,18.02,90.0
0.387,3.53,18.02,90.0
0.388,3.53,18.02,90.0
0.389,3.53,18.02,90.0
0.39,3.53,18.02,90.0
0.391,3.53,18.02,90.0
0.392,3.53,18.02,90.0
0.393,3.53,18.02,90.0
0.394,3.53,18.02,90.0
0.395,3.53,18.02,90.0
0.396,3.53,18.02,90.0
0.397,3.53,18.02,90.0
0.398,3.53,18.02,90.0
0.399,3.53,18.02,90.0
0.4,3.53,18.02,90.0
0.401,3.53,18.02,90.0
0.402,3.53,18.02,90.0
0.403,3.53,18.02,90.0
0.404,3.53,18.02,90.0
0.405,3.53,18.02,90.0
0.406,3.53,18.02,90.0
0.407,3.53,18.02,90.0
0.408,3.53,18.02,90.0
0.409,3.53,18.02,90.0
0.41,3.53,18.02,90.0
0.411,3.53,18.02,90.0
0.412,3.53,18.02,90.0
0.413,3.53,18.02,90.0
0.414,3.15,18.02,90.0
0.415,3.15,18.02,90.0
0.416,3.15,18.02,90.0
0.417,3.15,18.02,90.0
0.418,3.15,18.02,90.0
0.419,3.15,18.02,90.0
0.42,3.15,18.02,90.0
0.421,3.15,18.02,90.0
0.422,3.15,18.02,90.0
0.423,3.15,18.02,90.0
0.424,3.15,18.02,90.0
0.425,3.15,18.02,90.0
0.426,3.15,18.02,90.0
0.427,3.15,18.02,90.0
0.428,3.15,18.02,90.0
0.429,3.15,18.02,90.0
0.43,3.15,18.02,90.0
0.431,3.15,18.02,90.0
0.432,3.15,18.02,90.0
0.433,3.15,18.02,90.0
0.434,3.15,18.02,90.0
0.435,3.15,18.02,90.0
0.436,3.15,18.02,90.0
0.437,3.15,18.02,90.0
0.438,3.15,18.02,90.0
0.439,3.15,18.02,90.0
0.44,3.15,18.02,90.0
0.441,3.15,18.02,90.0
0.442,3.15,18.02,90.0
0.443,3.15,18.02,90.0
0.444,3.15,18.02,90.0
0.445,3.15,18.02,90.0
0.446,3.15,18.02,90.0
0.447,3.15,18.02,90.0
0.448,3.15,18.02,90.0
0.449,3.15,18.02,90.0
0.45,3.14,17.95,77.14
0.451,3.14,17.95,77.14
0.452,3.14,17.95,77.14
0.453,3.14,17.95,77.14
0.454,3.14,17.95,77.14
0.455,3.14,17.95,77.14
0.456,3.14,17.95,77.14
0.457,3.14,17.95,77.14
0.458,3.14,17.95,77.14
0.459,3.14,17.95,77.14
0.46,3.14,17.95,77.14
0.461,3.14,17.95,77.14
0.462,3.14,17.95,77.14
0.463,3.14,17.95,77.14
0.464,3.14,17.95,77.14
0.465,3.14,17.95,77.14
0.466,3.14,17.95,77.14
0.467,3.14,17.95,77.14
0.468,3.14,17.95,77.14
0.469,3.14,17.95,77.14
0.47,3.14,17.95,77.14
0.471,3.14,17.95,77.14
0.472,3.14,17.95,77.14
0.473,3.14,17.95,77.14
0.474,3.14,17.95,77.14
0.475,3.73,17.95,77.68
0.476,3.73,17.95,77.68
0.477,3.73,17.95,77.68
0.478,3.73,17.95,77.68
0.479,3.73,17.95,77.68
0.48,3.73,17.95,77.68
0.481,3.73,17.95,77.68
0.482,3.73,17.95,77.68
0.483,3.73,17.95,77.68
0.484,3.73,17.95,77.68
0.485,3.73,17.95,77.68
0.486,3.73,17.95,77.68
0.487,3.73,17.95,77.68
0.488,3.73,17.95,77.68
0.489,3.73,17.95,77.68
0.49,3.73,17.95,77.68
0.491,3.73,17.95,77.68
0.492,3.73,17.95,77.68
0.493,3.73,17.95,77.68
0.494,3.73,17.95,77.68
0.495,3.73,17.95,77.68
0.496,3.73,17.95,77.68
0.497,3.73,17.95,77.68
0.498,3.73,17.95,77.68
0.499,3.73,17.95,77.68
0.5,3.73,17.95,77.68
0.501,3.73,17.95,77.68
0.502,3.73,17.95,77.68
0.503,3.73,17.95,77.68
0.504,3.73,17.95,77.68
0.505,3.73,17.95,77.68
0.506,3.73,17.95,77.68
0.507,3.8,17.95,77.68
0.508,3.8,17.95,77.68
0.509,3.8,17.95,77.68
0.51,3.8,17.95,77.68
0.511,3.8,17.95,77.68
0.512,3.8,17.95,77.68
0.513,3.8,17.95,77.68
0.514,3.8,17.95,77.68
0.515,3.8,17.95,77.68
0.516,3.8,17.95,77.68
0.517,3.8,17.95,77.68
0.518,3.8,17.95,77.68
0.519,3.8,17.95,77.68
0.52,3.8,17.95,77.68
0.521,3.8,17.95,77.68
0.522,3.8,17.95,77.68
0.523,3.8,17.95,77.68
0.524,3.8,17.95,77.68
0.525,3.8,17.95,77.68
0.526,3.8,17.95,77.68
0.527,3.8,17.95,77.68
0.528,3.8,17.95,77.68
0.529,3.8,17.95,77.68
0.53,3.8,17.95,77.68
0.531,3.8,17.95,77.68
0.532,3.8,17.95,77.68
0.533,3.8,17.95,77.68
0.534,3.8,17.95,77.68
0.535,3.8,17.95,77.68
0.536,3.8,17.95,77.68
0.537,3.8,17.95,77.68
0.538,3.8,17.95,77.68
0.539,3.8,17.95,77.68
0.54,3.8,17.95,77.68
0.541,3.8,17.95,77.68
0.542,3.8,17.95,77.68
0.543,3.8,20.99,77.68
0.544,3.8,20.99,77.68
0.545,3.8,20.99,77.68
0.546,3.8,20.99,77.68
0.547,3.8,20.99,77.68
0.548,3.8,20.99,77.68
0.549,3.8,20.99,77.68
0.55,3.8,20.99,77.68
0.551,3.8,20.99,77.68
0.552,3.8,20.99,77.68
0.553,3.8,20.99,77.68
0.554,3.8,20.99,77.68
0.555,3.8,20.99,77.68
0.556,3.8,20.99,77.68
0.557,3.8,20.99,77.68
0.558,3.8,20.99,77.68
0.559,3.8,20.99,77.68
0.56,3.8,20.99,77.68
0.561,3.8,20.99,77.68
0.562,3.8,20.99,77.68
0.563,3.1,20.99,56.59
0.564,3.1,20.99,56.59
0.565,3.1,20.99,56.59
0.566,3.1,20.99,56.59
0.567,3.1,20.99,56.59
0.568,3.1,20.99,56.59
0.569,3.1,20.99,56.59
0.57,3.1,20.99,56.59
0.571,3.1,20.99,56.59
0.572,3.1,20.99,56.59
0.573,3.1,20.99,56.59
0.574,3.1,20.99,56.59
0.575,3.1,20.99,56.59
0.576,3.1,20.99,56.59
0.577,3.1,20.99,56.59
0.578,3.1,20.99,56.59
0.579,3.1,20.99,56.59
0.58,3.1,20.99,56.59
0.581,3.1,20.99,56.59
0.582,3.1,20.99,56.59
0.583,3.1,20.99,56.59
0.584,3.1,20.99,56.59
0.585,3.1,20.99,56.59
0.586,3.1,20.99,56.59
0.587,3.1,20.99,56.59
0.588,3.1,20.99,56.59
0.589,3.1,20.99,56.59
0.59,3.1,20.99,56.59
0.591,3.1,20.99,56.59
0.592,3.1,20.99,56.59
0.593,3.1,20.99,56.59
0.594,3.1,20.99,56.59
0.595,3.1,20.99,56.59
0.596,3.1,20.99,56.59
0.597,3.1,20.99,56.59
0.598,3.1,20.99,56.59
0.599,3.1,20.99,56.59
0.6,2.87,20.99,56.59
0.601,2.87,20.99,56.59
0.602,2.87,20.99,56.59
0.603,2.87,20.99,56.59
0.604,2.87,20.99,56.59
0.605,2.87,20.99,56.59
0.606,2.87,20.99,56.59
0.607,2.87,20.99,56.59
0.608,2.87,20.99,56.59
0.609,2.87,20.99,56.59
0.61,2.87,20.99,56.59
0.611,2.87,20.99,56.59
0.612,2.87,20.99,56.59
0.613,2.87,20.99,56.59
0.614,2.87,20.99,56.59
0.615,2.87,20.99,56.59
0.616,2.87,20.99,56.59
0.617,2.87,20.99,56.59
0.618,2.87,20.99,56.59
0.619,2.87,20.99,56.59
0.62,2.87,20.99,56.59
0.621,2.87,20.99,56.59
0.622,2.87,20.99,56.59
0.623,2.87,20.99,56.59
0.624,2.87,20.99,56.59
0.625,2.87,20.99,56.59
0.626,2.87,20.99,56.59
0.627,2.87,20.99,56.59
0.628,2.87,20.99,56.59
0.629,2.87,20.99,56.59
0.63,2.87,20.99,56.59
0.631,2.87,20.99,56.59
0.632,2.87,20.99,56.59
0.633,2.87,20.99,56.59
0.634,2.96,20.99,56.59
0.635,2.96,20.99,56.59
0.636,2.96,20.99,56.59
0.637,2.96,20.99,56.59
0.638,2.96,20.99,56.59
0.639,2.96,20.99,56.59
0.64,2.96,20.99,56.59
0.641,2.96,20.99,56.59
0.642,2.96,20.99,56.59
0.643,2.96,16.49,56.59
0.644,2.96,16.49,56.59
0.645,2.96,16.49,56.59
0.646,2.96,16.49,56.59
0.647,2.96,16.49,56.59
0.648,2.96,16.49,56.59
0.649,2.96,16.49,56.59
0.65,2.96,16.49,56.59
0.651,2.96,16.49,56.59
0.652,2.96,16.49,56.59
0.653,2.96,16.49,56.59
0.654,2.96,16.49,56.59
0.655,2.96,16.49,56.59
0.656,2.96,16.49,56.59
0.657,2.96,16.49,56.59
0.658,2.96,16.49,56.59
0.659,2.96,16.49,56.59
0.66,2.96,16.49,56.59
0.661,2.96,16.49,56.59
0.662,2.96,16.49,56.59
0.663,2.96,16.49,56.59
0.664,2.96,16.49,56.59
0.665,2.96,16.49,56.59
0.666,2.96,16.49,56.59
0.667,2.96,16.49,56.59
0.668,2.96,16.49,56.59
0.669,2.96,16.49,56.59
0.67,2.96,16.49,56.59
0.671,2.96,16.49,56.59
0.672,2.96,16.49,56.59
0.673,2.96,16.49,56.59
0.674,2.96,16.49,56.59
0.675,2.96,16.49,56.59
0.676,2.96,16.49,56.59
0.677,2.96,16.49,56.59
0.678,2.96,16.49,56.59
0.679,2.96,16.49,56.59
0.68,2.96,16.49,56.59
0.681,2.96,16.49,56.59
0.682,2.96,16.49,56.59
0.683,2.96,16.49,56.59
0.684,2.96,16.49,56.59
0.685,2.96,16.49,56.59
0.686,2.96,16.49,56.59
0.687,2.96,16.49,56.59
0.688,2.96,16.49,56.59
0.689,2.96,16.49,56.59
0.69,2.96,16.49,56.59
0.691,2.96,16.49,56.59
0.692,2.96,16.49,56.59
0.693,2.96,16.49,56.59
0.694,2.96,16.49,56.59
0.695,2.96,16.49,56.59
0.696,2.96,16.49,56.59
0.697,2.96,16.49,56.59
0.698,2.96,16.49,56.59
0.699,2.96,16.49,56.59
0.7,2.96,16.49,56.59
0.701,2.96,16.49,56.59
0.702,2.96,16.49,56.59
0.703,2.96,16.49,56.59
0.704,2.96,16.49,56.59
0.705,2.96,16.49,56.59
0.706,2.96,16.49,56.59
0.707,2.96,16.49,56.59
0.708,2.96,16.49,56.59
0.709,2.96,16.49,56.59
0.71,2.96,16.49,56.59
0.711,2.96,16.49,56.59
0.712,2.96,16.49,56.59
0.713,2.96,16.49,56.59
0.714,2.96,16.49,56.59
0.715,2.96,16.49,56.59
0.716,2.96,16.49,56.59
0.717,2.96,16.49,56.59
0.718,2.96,16.49,56.59
0.719,2.96,16.49,56.59
0.72,2.96,16.49,56.59
0.721,2.96,16.49,56.59
0.722,2.96,16.49,56.59
0.723,2.96,16.49,56.59
0.724,2.96,16.49,56.59
0.725,2.96,16.49,56.59
0.726,2.96,16.49,56.59
0.727,2.96,16.49,56.59
0.728,2.96,16.49,56.59
0.729,2.96,16.49,56.59
0.73,2.96,16.49,56.59
0.731,2.96,16.49,56.59
0.732,2.96,16.49,56.59
0.733,2.96,16.49,56.59
0.734,2.96,16.49,56.59
0.735,2.96,16.49,56.59
0.736,2.96,16.49,56.59
0.737,2.96,16.49,56.59
0.738,2.96,16.49,56.59
0.739,2.96,16.49,56.59
0.74,2.96,16.49,56.59
0.741,2.96,16.49,56.59
0.742,2.96,16.49,56.59
0.743,2.96,16.49,56.59
0.744,2.96,16.49,56.59
0.745,2.96,16.49,56.59
0.746,2.96,16.49,56.59
0.747,2.96,16.49,56.59
0.748,2.96,16.49,56.59
0.749,2.96,16.49,56.59
0.75,3.7,16.49,56.59
0.751,3.7,16.49,56.59
0.752,3.7,16.49,56.59
0.753,3.7,16.49,56.59
0.754,3.7,16.49,56.59
0.755,3.7,16.49,56.59
0.756,3.7,16.49,56.59
0.757,3.7,16.49,56.59
0.758,3.7,16.49,56.59
0.759,3.7,16.49,56.59
0.76,3.7,16.49,56.59
0.761,3.7,16.49,56.59
0.762,3.7,16.49,56.59
0.763,3.7,16.49,56.59
0.764,3.7,16.49,56.59
0.765,3.7,16.49,56.59
0.766,3.7,16.49,56.59
0.767,3.7,16.49,56.59
0.768,3.7,16.49,56.59
0.769,3.7,16.49,56.59
0.77,3.7,16.49,56.59
0.771,3.7,16.49,56.59
0.772,3.7,16.49,56.59
0.773,3.7,16.49,56.59
0.774,3.7,16.49,56.59
0.775,3.7,16.49,56.59
0.776,3.7,16.49,56.59
0.777,3.7,16.49,56.59
0.778,3.7,16.49,56.59
0.779,3.7,16.49,56.59
0.78,3.7,16.49,56.59
0.781,3.7,16.49,56.59
0.782,3.7,16.49,56.59
0.783,3.7,16.49,56.59
0.784,3.7,16.49,56.59
0.785,3.7,16.49,56.59
0.786,3.7,16.49,56.59
0.787,3.7,16.49,56.59
0.788,3.7,16.49,56.59
0.789,3.7,16.49,56.59
0.79,3.7,16.49,56.59
0.791,3.7,16.49,56.59
0.792,3.7,16.49,56.59
0.793,3.7,16.49,56.59
0.794,3.7,16.49,56.59
0.795,3.7,16.49,56.59
0.796,3.7,16.49,56.59
0.797,3.7,16.49,56.59
0.798,3.7,16.49,56.59
0.799,3.7,16.49,56.59
0.8,3.7,16.49,56.59
0.801,3.7,16.49,56.59
0.802,3.7,16.49,56.59
0.803,3.7,16.49,56.59
0.804,3.7,16.49,56.59
0.805,3.7,16.49,56.59
0.806,3.7,16.49,56.59
0.807,3.7,16.49,56.59
0.808,3.7,16.49,56.59
0.809,3.7,16.49,56.59
0.81,3.7,16.49,56.59
0.811,3.7,16.49,56.59
0.812,3.7,16.49,56.59
0.813,3.7,16.49,56.59
0.814,3.7,16.49,56.59
0.815,3.7,16.49,56.59
0.816,3.7,16.49,56.59
0.817,3.7,16.49,56.59
0.818,3.7,16.49,56.59
0.819,3.7,16.49,56.59
0.82,3.7,16.49,56.59
0.821,3.7,16.49,56.59
0.822,3.7,16.49,56.59
0.823,3.7,16.49,56.59
0.824,3.7,16.49,56.59
0.825,3.7,16.49,56.59
0.826,3.7,16.49,56.59
0.827,3.7,16.49,56.59
0.828,3.7,16.49,56.59
0.829,3.7,16.49,56.59
0.83,3.7,16.49,56.59
0.831,3.7,16.49,56.59
0.832,3.7,16.49,56.59
0.833,3.7,16.49,56.59
0.834,3.7,16.49,56.59
0.835,3.7,16.49,56.59
0.836,3.7,16.49,56.59
0.837,3.7,16.49,56.59
0.838,3.7,16.49,56.59
0.839,3.7,16.49,56.59
0.84,3.7,16.49,56.59
0.841,3.7,16.49,56.59
0.842,3.7,16.49,56.59
0.843,3.7,16.49,56.59
0.844,3.7,16.49,56.59
0.845,3.7,16.49,56.59
0.846,3.7,16.49,56.59
0.847,3.7,16.49,56.59
0.848,3.7,16.49,56.59
0.849,3.7,16.49,56.59
0.85,3.7,16.49,56.59
0.851,3.7,16.49,56.59
0.852,3.7,16.49,56.59
0.853,3.7,16.49,56.59
0.854,3.7,16.49,56.59
0.855,3.7,16.49,56.59
0.856,3.7,16.49,56.59
0.857,3.7,16.49,56.59
0.858,3.7,16.49,56.59
0.859,3.7,16.49,56.59
0.86,3.7,16.49,56.59
0.861,3.7,16.49,56.59
0.862,3.7,16.49,56.59
0.863,3.7,16.49,56.59
0.864,3.7,16.49,56.59
0.865,3.7,16.49,56.59
0.866,3.7,16.49,56.59
0.867,3.7,16.49,56.59
0.868,3.7,16.49,56.59
0.869,3.7,16.49,56.59
0.87,3.7,16.49,56.59
0.871,3.7,16.49,56.59
